Year,Country,Region,Wave,LIS Dataset,Gross / net,"Primary
income (a)","Gross
income (b)","Disposable
income (c)",Absolute (a-c),"Relative 
(a-c)/a*100","Old-age/ 
Disability/ 
Survivor",Sickness,"Family/ 
Children",Education,Unemployment ,Housing,"General/food/ medical
assistance",Other transfers,"Income
taxes",Residual,"Residual / total 
redistribution","Ratio other transfers / 
total transfers",,Year,Country,Region,Wave,LIS Dataset,Gross / net,"Relative fiscal
redistribution","Total
redistribution","Old-age/ 
Disability/ 
Survivor",Sickness,"Family/ 
Children",Education,Unemployment ,Housing,"General/food/ medical
assistance",Other transfers,"Income
taxes",Residual
1969,UK,EU15,Historical wave,United Kingdom 1969,Gross,0.36,0.295,0.267,0.093,26%,0.042,0.004,0.01,,0.004,,,0.006,0.028,0,0.00%,6.30%,,1969,UK,EU15,Historical wave,United Kingdom 1969,Gross,26%,100%,45%,4%,11%,,4%,,,6%,30%,0%
2013,US,Anglo-Saxon,Wave IX,United States 2013,Gross,0.509,0.418,0.377,0.132,26%,0.069,0.001,0.01,0.002,0.002,0.001,0.007,-0.002,0.041,0,0.20%,-1.10%,,2013,US,Anglo-Saxon,Wave IX,United States 2013,Gross,26%,100%,53%,0%,8%,2%,2%,1%,5%,-1%,31%,0%
2010,US,Anglo-Saxon,Wave VIII,United States 2010,Gross,0.507,0.411,0.367,0.14,28%,0.066,0.001,0.011,0.003,0.007,0.001,0.008,0.001,0.044,0,0.00%,0.50%,,2010,US,Anglo-Saxon,Wave VIII,United States 2010,Gross,28%,100%,47%,0%,8%,2%,5%,1%,5%,0%,32%,0%
2007,US,Anglo-Saxon,Wave VII,United States 2007,Gross,0.483,0.409,0.371,0.111,23%,0.057,0.001,0.009,0.002,0.001,0.001,0.004,-0.001,0.038,0,0.00%,-0.90%,,2007,US,Anglo-Saxon,Wave VII,United States 2007,Gross,23%,100%,51%,1%,8%,1%,1%,1%,4%,-1%,34%,0%
2004,US,Anglo-Saxon,Wave VI,United States 2004,Gross,0.487,0.409,0.364,0.124,25%,0.06,0.001,0.01,0.002,0.002,0.001,0.004,-0.001,0.046,0,-0.20%,-0.80%,,2004,US,Anglo-Saxon,Wave VI,United States 2004,Gross,25%,100%,49%,1%,8%,1%,1%,1%,3%,-1%,37%,0%
2000,US,Anglo-Saxon,Wave V,United States 2000,Gross,0.477,0.409,0.357,0.12,25%,0.055,0.001,0.006,0.001,0.001,0.001,0.003,-0.001,0.052,0,0.00%,-0.50%,,2000,US,Anglo-Saxon,Wave V,United States 2000,Gross,25%,100%,46%,1%,5%,1%,1%,1%,3%,-1%,44%,0%
1997,US,Anglo-Saxon,Wave IV,United States 1997,Gross,0.483,0.407,0.36,0.123,25%,0.058,0.001,0.008,0.002,0.001,0.001,0.005,0,0.047,0,0.20%,-0.30%,,1997,US,Anglo-Saxon,Wave IV,United States 1997,Gross,25%,100%,47%,1%,7%,1%,1%,1%,4%,0%,38%,0%
1994,US,Anglo-Saxon,Wave IV,United States 1994,Gross,0.487,0.406,0.361,0.126,26%,0.059,0.001,0.01,0.002,0.002,0.001,0.008,-0.001,0.045,0,0.00%,-0.40%,,1994,US,Anglo-Saxon,Wave IV,United States 1994,Gross,26%,100%,46%,1%,8%,2%,2%,1%,6%,0%,35%,0%
1991,US,Anglo-Saxon,Wave III,United States 1991,Gross,0.467,0.388,0.346,0.121,26%,0.056,0.002,0.008,0.002,0.003,0.001,0.007,0,0.042,0,0.00%,-0.30%,,1991,US,Anglo-Saxon,Wave III,United States 1991,Gross,26%,100%,47%,2%,7%,1%,2%,1%,6%,0%,35%,0%
1986,US,Anglo-Saxon,Wave II,United States 1986,Gross,0.459,0.386,0.34,0.118,26%,0.052,0.001,0.007,,0.002,0.001,0.006,0.003,0.046,0,0.10%,2.50%,,1986,US,Anglo-Saxon,Wave II,United States 1986,Gross,26%,100%,44%,1%,6%,,2%,1%,5%,3%,39%,0%
1979,US,Anglo-Saxon,Wave I,United States 1979,Gross,0.428,0.356,0.31,0.118,28%,0.05,0.001,0.008,,0.002,0,0.006,0.004,0.046,0,0.00%,3.60%,,1979,US,Anglo-Saxon,Wave I,United States 1979,Gross,28%,100%,42%,1%,7%,,1%,0%,5%,4%,39%,0%
1974,US,Anglo-Saxon,Historical wave,United States 1974,Gross,0.412,0.352,0.316,0.096,23%,0.041,,,,0.002,,,0.017,0.036,0,0.00%,17.40%,,1974,US,Anglo-Saxon,Historical wave,United States 1974,Gross,23%,100%,43%,,,,2%,,,17%,38%,0%
2013,UY,Latin America,Wave IX,Uruguay 2013,Net,0.466,0.372,0.372,0.094,20%,0.072,,0.009,,0.003,,0.008,0.002,,0.001,0.70%,2.20%,,2013,UY,Latin America,Wave IX,Uruguay 2013,Net,20%,100%,76%,,9%,,3%,,9%,2%,,1%
2010,UY,Latin America,Wave VIII,Uruguay 2010,Net,0.498,0.405,0.405,0.093,19%,0.073,,0.009,,0.002,,0.007,0.002,,0.001,1.00%,2.00%,,2010,UY,Latin America,Wave VIII,Uruguay 2010,Net,19%,100%,78%,,9%,,2%,,7%,2%,,1%
2007,UY,Latin America,Wave VII,Uruguay 2007,Net,0.521,0.423,0.423,0.099,19%,0.068,,0.008,,0.002,,0.02,0.001,,0.001,0.80%,1.50%,,2007,UY,Latin America,Wave VII,Uruguay 2007,Net,19%,100%,69%,,8%,,2%,,20%,1%,,1%
2004,UY,Latin America,Wave VI,Uruguay 2004,Net,0.529,0.424,0.424,0.105,20%,,,0.004,,0.002,,,0.1,,0,0.10%,94.80%,,2004,UY,Latin America,Wave VI,Uruguay 2004,Net,20%,100%,,,3%,,2%,,,95%,,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mean,,0.461,0.345,0.318,0.142,31%,0.08,0.005,0.013,0.002,0.01,0.004,0.005,0.014,0.037,-0.002,-0.003,0.123,,,,,,Mean,,31%,100%,43%,2%,8%,2%,6%,2%,5%,12%,42%,0%
,,,,Minimum,,0.272,0.216,0.189,0,0%,-0.005,0,0,0,0,-0.001,0,-0.01,-0.009,-0.185,-0.661,-0.066,,,,,,Minimum,,0%,100%,-3019%,-1%,0%,-4%,-1%,0%,0%,-7%,-75%,-66%
,,,,Maximum,,0.665,0.639,0.596,0.299,55%,0.177,0.133,0.04,0.028,0.134,0.023,0.03,0.156,0.241,0.007,0.542,0.974,,,,,,Maximum,,55%,100%,104%,46%,24%,21%,46%,32%,67%,97%,3119%,54%
,,,,N * T,,291,290,293,291,291,280,141,222,162,226,135,168,289,206,289,290,290,,,,,,N * T,,291,291,280,141,223,162,226,135,165,289,206,289
,,,,Mean (rescaling),,0.461,0.345,0.318,0.142,,0.067,0.004,0.011,0.002,0.009,0.003,0.004,0.012,0.031,-0.002,,,,,,,,Mean (rescaling),,,,47%,3%,8%,1%,6%,2%,3%,8%,22%,-1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Notes,,,,,,,,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,
,,,,"Results for Hungary 2012, 2009 and 2007 should be treated with caution. We miss over 20% of observations when we move from primary to disposable income.",,,,,,,,,,,,,,,,,,,,"Results for Hungary 2012, 2009 and 2007 should be treated with caution. We miss over 20% of observations when we move from primary to disposable income.",,,,,,,,,,,,,,,,,
,,,,"For some countries and years, private transfers are not available, including Canada (1997, 1994, 1991, 1987, 1981, 1975, 1971), Czech Republic (1996, 1992), Italy (1986), Norway (2013, 2010, 2007), Poland (1986), Romania (1997, 1995), Slovakia (1992), Spain (1985, 1980), Sweden (1981, 1967). Taiwan (1995) has no information on private transfers or social security transfers. Austria (1995, 1987) only has information on disposable income. For cases without information on private transfers, we calculate all incomes without adding private transfers.",,,,,,,,,,,,,,,,,,,,"For some countries and years, private transfers are not available, including Canada (1997, 1994, 1991, 1987, 1981, 1975, 1971), Czech Republic (1996, 1992), Italy (1986), Norway (2013, 2010, 2007), Poland (1986), Romania (1997, 1995), Slovakia (1992), Spain (1985, 1980), Sweden (1981, 1967). Taiwan (1995) has no information on private transfers or social security transfers. Austria (1995, 1987) only has information on disposable income. For cases without information on private transfers, we calculate all incomes without adding private transfers.",,,,,,,,,,,,,,,,,
,,,,"Gross income data for most countries and years (194 datasets), while income data net of income taxes for 80 countries and years (marked italic).",,,,,,,,,,,,,,,,,,,,"Gross income data for most countries and years (194 datasets), while income data net of income taxes for 80 countries and years (marked italic).",,,,,,,,,,,,,,,,,
,,,,"Mean (rescaling): the sum of all partial redistributive effects amount (a little) over 100 percent due to missing observations. We rescaled the redistributive effects of each social program by applying an adjustment factor, which is defined as the overall redistribution (100%) divided by sum of all partial redistributive effects of all programs (over 100%), in order to correct for an over-estimated effect.",,,,,,,,,,,,,,,,,,,,"Mean (rescaling): the sum of all partial redistributive effects amount (a little) over 100 percent due to missing observations. We rescaled the redistributive effects of each social program by applying an adjustment factor, which is defined as the overall redistribution (100%) divided by sum of all partial redistributive effects of all programs (over 100%), in order to correct for an over-estimated effect.",,,,,,,,,,,,,,,,,
